job_path	batch	harbor_version	created_at	n_concurrent_trials	n_planned	n_scored	n_total_trials	agent	model	dataset_source	task_digest_head	src_bytes	archive_bytes	sha256	allowlist_diff	hf_path	archived_at	redacted	leak_hits
t7-regate/retry/round1/2026-09-12__23-44-42	t7-regate	0.22.0	2026-09-12T15:44:43.108488Z	1	3	3	3	oracle		tasks	sha256:ed02afa32	670327	60345	e6985473c905a3b47b198d91a7d756aeac29998537ca130fee971af85da183d2	none	evidence/v0.2-mini/t7-regate/retry/round1/2026-09-12__23-44-42.tar.zst	2026-09-17T15:07:34Z	no	11
t8-fix/exp-concurrency-n6/2026-09-13__11-38-09	t8-fix	0.22.0	2026-09-13T03:38:09.714435Z	6	39	39	39	oracle		survivors	sha256:aa2eca929	12038604	459974	2a8ec476775730d99956264cfa20e4509b5432e11ecc2b01bfbd336c3fef7185	none	evidence/v0.2-mini/t8-fix/exp-concurrency-n6/2026-09-13__11-38-09.tar.zst	2026-09-17T15:07:34Z	no	119
t8-fix/exp-fix/A-control/2026-09-13__11-43-25	t8-fix	0.22.0	2026-09-13T03:43:26.031329Z	6	6	6	6	sid_code_agent:SidCodeAgent	openai/origin-deepseek-v4-1-flash	A-control	sha256:f8eb9d741	103665894	11671879	3e0cca43015850a21431632f7f18f5b961453e74de083bf28df13d05acc00740	none	evidence/v0.2-mini/t8-fix/exp-fix/A-control/2026-09-13__11-43-25.tar.zst	2026-09-17T15:07:34Z	no	50
t8-fix/exp-fix/B-doc/2026-09-13__12-15-05	t8-fix	0.22.0	2026-09-13T04:15:05.149797Z	6	6	6	6	sid_code_agent:SidCodeAgent	openai/origin-deepseek-v4-1-flash	B-doc	sha256:fbc87ece0	122485589	12170370	7b410326c645aec07198344e783ffebe2a90c0bac007e8b86c0675a0b4bfef51	none	evidence/v0.2-mini/t8-fix/exp-fix/B-doc/2026-09-13__12-15-05.tar.zst	2026-09-17T15:07:34Z	no	56
t8-fix/exp-fix/C-turns/2026-09-13__12-47-57	t8-fix	0.22.0	2026-09-13T04:47:57.896857Z	6	6	6	6	sid_code_agent:SidCodeAgent	openai/origin-deepseek-v4-1-flash	C-turns	sha256:f8eb9d741	230034028	25489601	fdef08c80236e2e2bbd354d50d55d334618d4d54b5665f2bcd845c0ae23294e1	none	evidence/v0.2-mini/t8-fix/exp-fix/C-turns/2026-09-13__12-47-57.tar.zst	2026-09-17T15:07:34Z	no	56
t8-fix/exp-fix/D-both/2026-09-13__15-00-33	t8-fix	0.22.0	2026-09-13T07:00:33.476134Z	6	6	6	6	sid_code_agent:SidCodeAgent	openai/origin-deepseek-v4-1-flash	D-both	sha256:fbc87ece0	239343616	23333024	d62567a00d2b3c3c538e4576401169451ff8dd7550dde5cf4548fb589f563f97	none	evidence/v0.2-mini/t8-fix/exp-fix/D-both/2026-09-13__15-00-33.tar.zst	2026-09-17T15:07:34Z	no	56
t8-fix/exp-fix/E-contract/2026-09-13__17-16-17	t8-fix	0.22.0	2026-09-13T09:16:17.308828Z	6	6	6	6	sid_code_agent:SidCodeAgent	openai/origin-deepseek-v4-1-flash	E-contract	sha256:640b2a597	265664581	26931439	9dc021f91750861820671a628e8cdf4d26cacd046ad12125f47a28a7e84ef59e	none	evidence/v0.2-mini/t8-fix/exp-fix/E-contract/2026-09-13__17-16-17.tar.zst	2026-09-17T15:07:34Z	no	58
t8-rerun/2026-09-13__19-35-38	t8-rerun	0.22.0	2026-09-13T11:35:39.481607Z	6	39	39	39	sid_code_agent:SidCodeAgent	openai/origin-deepseek-v4-1-flash	tasks	sha256:ec4a5bcfc	1977284898	181023631	1a4b758755efa0a4a39f895f84828077df0335bc9ec779612e81f573837d57ac	none	evidence/v0.2-mini/t8-rerun/2026-09-13__19-35-38.tar.zst	2026-09-17T15:07:34Z	yes(9 files/813 sites)	367
t8-rerun/2026-09-14__09-46-52	t8-rerun	0.22.0	2026-09-14T01:46:52.790609Z	6	2	2	2	sid_code_agent:SidCodeAgent	openai/origin-deepseek-v4-1-flash	tasks	sha256:45ee8265a	11896494	567158	f0c8712626489bdb8f5b863bd5851265f6fa82960a899a12d7eb8ffc87c01cab	none	evidence/v0.2-mini/t8-rerun/2026-09-14__09-46-52.tar.zst	2026-09-17T15:07:34Z	no	21
tz-runs/nop/2026-09-07__17-48-07	tz-runs	0.22.0	2026-09-07T09:48:07.185623Z	1	1	1	1	nop			sha256:38d7a077f	29066	6915	d0a15a270a52de410ea746dcfe95ec0410d9b9b211ba33955408b10a1585ae35	none	evidence/v0.2-mini/tz-runs/nop/2026-09-07__17-48-07.tar.zst	2026-09-17T15:07:34Z	no	5
tz-runs/oracle/2026-09-07__17-47-12	tz-runs	0.22.0	2026-09-07T09:47:12.972317Z	1	1	1	1	oracle			sha256:38d7a077f	24821	6127	0d6fc1e757cd1328f9fab49bdea8f4ed54f9a2f986ced2c26875368aeeff5b4d	none	evidence/v0.2-mini/tz-runs/oracle/2026-09-07__17-47-12.tar.zst	2026-09-17T15:07:34Z	no	5
_stage-prompts	_stage-prompts											213991129	224152	826e819a95657955a01231f0363307d2fdca1e34283626f902ed86858c8553de	none	evidence/v0.2-mini/_stage-prompts.tar.zst	2026-09-17T15:07:34Z	no	0
